pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
0,"(1,1)-(8,8)",7,0.868722,0.923718,0.054996,0.923718
1,"(1,2)-(7,8)",6,0.819817,0.874813,0.054996,0.874813
3,"(1,4)-(5,8)",4,0.801262,0.856257,0.054996,0.856257
2,"(1,3)-(6,8)",5,0.686044,0.741039,0.054996,0.741039
7,"(2,2)-(8,8)",6,0.426161,-0.371165,0.054996,0.371165
9,"(2,4)-(6,8)",4,0.351518,-0.296522,0.054996,0.296522
16,"(3,6)-(5,8)",2,0.315664,-0.260668,0.054996,0.260668
10,"(2,5)-(5,8)",3,0.314293,-0.259297,0.054996,0.259297
