pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
0,"(1,1)-(8,8)",7,0.396916,0.404752,0.007836,0.404752
22,"(5,5)-(8,8)",3,0.214916,0.222752,0.007836,0.222752
33,"(7,1)-(8,2)",1,0.157183,0.165019,0.007836,0.165019
28,"(2,1)-(8,7)",6,0.150935,-0.143099,0.007836,0.143099
1,"(1,2)-(7,8)",6,0.147943,0.155779,0.007836,0.155779
19,"(4,5)-(7,8)",3,0.138518,-0.130682,0.007836,0.130682
31,"(5,1)-(8,4)",3,0.132990,-0.125154,0.007836,0.125154
43,"(7,4)-(8,5)",1,0.131393,-0.123557,0.007836,0.123557
