pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
0,"(1,1)-(8,8)",7,0.806777,-0.840831,-0.034054,0.840831
1,"(1,2)-(7,8)",6,0.663828,-0.697881,-0.034054,0.697881
2,"(1,3)-(6,8)",5,0.543997,-0.578051,-0.034054,0.578051
45,"(7,5)-(8,6)",1,0.401916,0.367862,-0.034054,0.367862
29,"(3,1)-(8,6)",5,0.384762,0.350708,-0.034054,0.350708
3,"(1,4)-(5,8)",4,0.358708,-0.392762,-0.034054,0.392762
28,"(2,1)-(8,7)",6,0.269650,0.235597,-0.034054,0.235597
37,"(6,2)-(8,4)",2,0.223374,0.189320,-0.034054,0.189320
