pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
2,"(1,3)-(6,8)",5,0.432192,-0.454963,-0.022771,0.454963
0,"(1,1)-(8,8)",7,0.401857,-0.424629,-0.022771,0.424629
28,"(2,1)-(8,7)",6,0.372590,0.349819,-0.022771,0.349819
1,"(1,2)-(7,8)",6,0.313456,-0.336227,-0.022771,0.336227
3,"(1,4)-(5,8)",4,0.308005,-0.330776,-0.022771,0.330776
7,"(2,2)-(8,8)",6,0.290057,0.267285,-0.022771,0.267285
8,"(2,3)-(7,8)",5,0.260427,0.237656,-0.022771,0.237656
9,"(2,4)-(6,8)",4,0.205477,0.182705,-0.022771,0.182705
