pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
3,"(1,4)-(5,8)",4,0.514281,0.584468,0.070186,0.584468
0,"(1,1)-(8,8)",7,0.468268,0.538455,0.070186,0.538455
2,"(1,3)-(6,8)",5,0.460990,0.531176,0.070186,0.531176
1,"(1,2)-(7,8)",6,0.443982,0.514168,0.070186,0.514168
9,"(2,4)-(6,8)",4,0.367794,-0.297608,0.070186,0.297608
28,"(2,1)-(8,7)",6,0.247780,-0.177594,0.070186,0.177594
38,"(7,2)-(8,3)",1,0.190281,-0.120095,0.070186,0.120095
8,"(2,3)-(7,8)",5,0.148417,-0.078231,0.070186,0.078231
